category,item,count,percentage
TOTAL,All Standardized Files,1397,100.0
ML_CLASS,BACKGROUND,407,29.13
ML_CLASS,TRINETRA,543,38.87
ML_CLASS,UNKNOWN,447,32.0
FOLDER_LABEL,background,407,29.13
FOLDER_LABEL,negative,316,22.62
FOLDER_LABEL,positive,543,38.87
FOLDER_LABEL,similar,131,9.38
SOURCE,natural,1097,78.53
SOURCE,synthetic,300,21.47
SPEAKER,anush,149,10.67
SPEAKER,bhagya,10,0.72
SPEAKER,nishanth,501,35.86
SPEAKER,srinivas,31,2.22
SPEAKER,unknown,706,50.54
ENVIRONMENT,ac,21,5.16
ENVIRONMENT,fan,22,5.41
ENVIRONMENT,music,25,6.14
ENVIRONMENT,people_talking,21,5.16
ENVIRONMENT,random,278,68.3
ENVIRONMENT,traffic,20,4.91
ENVIRONMENT,tv,20,4.91
