threshold,tp,fn,recall,frr,accuracy,unknown_fa,background_fa,similar_fa,negative_fa,total_false_accepts,optimization_score
0.3,46,8,0.8519,0.1481,0.6643,28,9,27,1,37,-0.0031
0.35,45,9,0.8333,0.1667,0.6857,26,7,25,1,33,0.0683
0.4,43,11,0.7963,0.2037,0.7143,23,4,22,1,27,0.1663
0.45,42,12,0.7778,0.2222,0.7143,22,4,21,1,26,0.1728
0.5,34,20,0.6296,0.3704,0.6857,18,4,17,1,22,0.1246
0.55,32,22,0.5926,0.4074,0.6857,17,3,16,1,20,0.1326
0.6,32,22,0.5926,0.4074,0.7071,14,3,14,0,17,0.1826
0.65,28,26,0.5185,0.4815,0.6929,12,3,12,0,15,0.1585
0.7,27,27,0.5,0.5,0.7143,8,3,8,0,11,0.24
0.75,26,28,0.4815,0.5185,0.7357,4,3,4,0,7,0.3215
0.8,26,28,0.4815,0.5185,0.7429,3,3,3,0,6,0.3465
0.85,25,29,0.463,0.537,0.75,1,2,1,0,3,0.398
0.9,22,32,0.4074,0.5926,0.7357,0,1,0,0,1,0.3874
