file,label,duration,sample_rate,channels,bit_depth,rms,peak,silence_ratio,status,reason
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000001.wav,background,2.2826875,16000,1,16,0.10806,0.70398,0.558,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000002.wav,background,1.5,16000,1,16,0.03812,0.16772,0.2054,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000003.wav,background,1.5,16000,1,16,0.03819,0.16592,0.2089,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000004.wav,background,1.5,16000,1,16,0.03826,0.15369,0.2056,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000005.wav,background,1.5,16000,1,16,0.03836,0.20322,0.203,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000006.wav,background,1.5,16000,1,16,0.03824,0.19263,0.2,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000007.wav,background,1.5,16000,1,16,0.03804,0.15121,0.2041,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000008.wav,background,1.5,16000,1,16,0.03842,0.15103,0.2048,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000009.wav,background,1.5,16000,1,16,0.03833,0.15063,0.2028,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000010.wav,background,1.5,16000,1,16,0.03842,0.1601,0.204,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000011.wav,background,1.5,16000,1,16,0.03845,0.15408,0.2023,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000012.wav,background,1.5,16000,1,16,0.0382,0.15112,0.2068,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000013.wav,background,1.5,16000,1,16,0.03835,0.15253,0.2074,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000014.wav,background,1.5,16000,1,16,0.03811,0.14685,0.2088,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000015.wav,background,1.5,16000,1,16,0.03817,0.1723,0.2035,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000016.wav,background,1.5,16000,1,16,0.03845,0.15146,0.2029,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000017.wav,background,1.5,16000,1,16,0.03813,0.1507,0.2026,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000018.wav,background,1.5,16000,1,16,0.03867,0.16068,0.2025,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000019.wav,background,1.5,16000,1,16,0.03817,0.16577,0.2022,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000020.wav,background,1.5,16000,1,16,0.03821,0.16016,0.2031,OK,Passed all quality checks
D:/HACK-PROJECTS/TRINETRA/TRINETRA_ML/standardized/background/ac/background_ac_000021.wav,background,1.5,16000,1,16,0.0384,0.16333,0.2016,OK,Passed all quality checks
